"Source location: ""WHO Mortality Database portal""",,,,,,,,
Indicator metadata: I11-I15,,,,,,,,
Country Code,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
USA,1950,Male,Age05_09,[5-9],3,0.06295908,,0.04467876
USA,1950,Male,Age10_14,[10-14],4,0.0999001,,0.07066638
USA,1950,Male,Age15_19,[15-19],11,0.14721627,,0.20710561
USA,1950,Male,Age20_24,[20-24],56,0.51565378,,0.99887626
USA,1950,Male,Age25_29,[25-29],111,0.94275522,,1.85864269
USA,1950,Male,Age30_34,[30-34],273,2.04693709,,4.85359219
USA,1950,Male,Age35_39,[35-39],552,2.98604349,,10.00453104
USA,1950,Male,Age40_44,[40-44],1091,4.05335117,,21.51746445
USA,1950,Male,Age45_49,[45-49],1782,4.68072811,,39.369035
USA,1950,Male,Age50_54,[50-54],3136,5.77691812,,75.95795185
USA,1950,Male,Age55_59,[55-59],4263,5.90778697,,117.0735726
USA,1950,Male,Age60_64,[60-64],5357,6.06936089,,175.2830312
USA,1950,Male,Age65_69,[65-69],6689,6.70825269,,279.2901879
USA,1950,Male,Age70_74,[70-74],7031,7.12252444,,431.6674853
USA,1950,Male,Age75_79,[75-79],6727,7.49526462,,671.4913156
USA,1950,Male,Age80_84,[80-84],5301,7.87140842,,1049.70297
USA,1950,Male,Age85_over,[85+],3713,7.24629196,,1567.989865
USA,1950,Male,Age_unknown,[Unknown],46,5.71428571,,
USA,1950,Female,Age_all,[All],51609,8.26133935,69.57234751,68.02822415
USA,1950,Female,Age00,[0],0,0,,0
USA,1950,Female,Age01_04,[1-4],2,0.02473411,,0.03133519
USA,1950,Female,Age05_09,[5-9],2,0.05908419,,0.03083993
USA,1950,Female,Age10_14,[10-14],5,0.20383204,,0.09159354
USA,1950,Female,Age15_19,[15-19],20,0.4927322,,0.37698151
USA,1950,Female,Age20_24,[20-24],53,0.89724056,,0.90205089
USA,1950,Female,Age25_29,[25-29],137,1.77185722,,2.18493828
USA,1950,Female,Age30_34,[30-34],334,3.47049044,,5.66841471
USA,1950,Female,Age35_39,[35-39],670,4.9918045,,11.69529395
USA,1950,Female,Age40_44,[40-44],1256,6.93424612,,24.46578491
USA,1950,Female,Age45_49,[45-49],1876,7.8797043,,41.28430272
